iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
1,15,4,utility_1,add,kendall,-0.15873015873015872,-0.15872349764539825
2,15,2,utility_3,multiply,kendall,0.010526315789473684,0.0105263157808583
45,15,4,utility_3,add,kendall,-0.052631578947368425,-0.05263155204815639
1,15,4,utility_3,multiply,spearman,-0.2300751879699248,-0.23003296630237585
38,15,3,utility_3,multiply,spearman,0.1789473684210526,0.17893526584868608
3,15,4,utility_2,multiply,spearman,0.05864661654135337,0.058646570343118334
4,15,2,utility_3,multiply,kendall,-0.010526315789473684,-0.0105263157808583
57,15,4,utility_3,add,kendall,0.1368421052631579,0.13683892627378003
25,15,3,utility_2,add,spearman,0.09172932330827067,0.09172889156054181
24,15,3,utility_1,multiply,spearman,-0.21052631578947367,-0.21049915247334955
42,15,2,utility_1,add,spearman,0.3654135338345864,0.3649984429002506
36,15,3,utility_1,multiply,spearman,-0.019548872180451125,-0.019548871990140975
58,15,4,utility_3,multiply,kendall,0.0736842105263158,0.07368406598423834
28,15,4,utility_1,multiply,spearman,0.5624060150375939,0.5590442104285325
57,15,2,utility_3,add,spearman,0.3037593984962406,0.30359228008325867
16,15,4,utility_1,multiply,spearman,0.1609022556390977,0.1608951278128157
1,15,3,utility_2,multiply,kendall,0.18947368421052632,0.1894575989307692
46,15,2,utility_1,add,kendall,0.1213724541484165,0.12137070682964225
4,15,4,utility_2,multiply,spearman,-0.09022556390977443,-0.09022516637342368
25,15,4,utility_1,multiply,kendall,0.4105263157894737,0.4097923815022709
54,15,3,utility_2,multiply,spearman,-0.20300751879699244,-0.20298484798123392
7,15,2,utility_2,multiply,kendall,-0.031578947368421054,-0.03157894527550118
31,15,2,utility_1,add,spearman,0.6902255639097743,0.6813905138992802
59,15,4,utility_3,multiply,spearman,-0.30075187969924805,-0.30059277342992524
56,15,2,utility_3,add,kendall,-0.031578947368421054,-0.03157894527550118
45,15,2,utility_2,multiply,spearman,-0.10375939849624059,-0.10375859961004923
19,15,4,utility_3,multiply,spearman,-0.3157894736842105,-0.3155870523043374
3,15,3,utility_2,add,kendall,0.30526315789473685,0.3050919153539973
4,15,3,utility_2,multiply,spearman,0.41804511278195483,0.41724320160504824
17,15,4,utility_3,multiply,spearman,-0.006015037593984962,-0.00601503759346004
7,15,2,utility_3,add,kendall,0.16842105263157894,0.16841210378594335
59,15,2,utility_3,multiply,spearman,0.11729323308270674,0.11729175982812895
27,15,3,utility_1,multiply,spearman,-0.14736842105263157,-0.14736382085161523
33,15,2,utility_1,multiply,kendall,0.031578947368421054,0.03157894527550118
5,15,2,utility_3,multiply,kendall,0.2736842105263158,0.2735843952206583
8,15,4,utility_3,add,spearman,-0.15789473684210525,-0.15788824863728226
29,15,2,utility_3,multiply,kendall,0.19999999999999998,0.19997895087522655
11,15,4,utility_3,add,spearman,-0.14586466165413534,-0.1458602907695136
36,15,4,utility_1,add,kendall,0.18469721283454685,0.18468304683578157
30,15,2,utility_2,add,spearman,0.25864661654135335,0.2585711656310256
48,15,2,utility_1,add,spearman,0.5082706766917292,0.5062017602975405
48,15,2,utility_2,add,kendall,0.052631578947368425,0.05263155204815639
48,15,2,utility_1,multiply,kendall,0.38947368421052636,0.38890629334855137
22,15,2,utility_2,add,spearman,-0.1609022556390977,-0.1608951278128157
4,15,3,utility_3,multiply,kendall,0.04232863482168851,0.042328625768103104
45,15,4,utility_1,multiply,spearman,0.15037593984962402,0.15037085221459068
31,15,3,utility_3,multiply,spearman,-0.18496240601503755,-0.1849481384950974
14,15,3,utility_2,multiply,spearman,0.27669172932330827,0.2765863671820262
9,15,4,utility_1,multiply,spearman,-0.19548872180451127,-0.1954699306345134
54,15,4,utility_2,multiply,spearman,0.15789473684210525,0.15788824863728226
27,15,3,utility_2,add,spearman,0.19548872180451127,0.1954699306345134
21,15,4,utility_1,multiply,spearman,-0.12932330827067667,-0.12932091017997702
36,15,3,utility_3,add,kendall,0.031578947368421054,0.03157894527550118
8,15,4,utility_3,multiply,kendall,-0.031578947368421054,-0.03157894527550118
33,15,4,utility_1,add,spearman,-0.003007518796992481,-0.003007518796976077
18,15,4,utility_2,add,kendall,0.0,0.0
43,15,2,utility_3,add,kendall,0.23157894736842105,0.23153533800008738
56,15,4,utility_3,multiply,kendall,-0.33245498310218435,-0.3321941735810184
41,15,4,utility_1,add,spearman,-0.11278195488721804,-0.11278074355867268
23,15,3,utility_2,multiply,kendall,-0.09473684210526316,-0.0947363348784088
57,15,4,utility_2,add,kendall,-0.1368421052631579,-0.13683892627378003
37,15,3,utility_2,multiply,spearman,-0.21052631578947367,-0.21049915247334955
37,15,2,utility_1,add,spearman,0.26766917293233083,0.26757975567575065
30,15,3,utility_3,add,spearman,-0.06917293233082707,-0.06917282691726474
45,15,2,utility_1,multiply,spearman,0.14887218045112782,0.14886734143023894
45,15,2,utility_1,add,spearman,0.3218045112781954,0.32158235525771184
60,15,3,utility_3,multiply,spearman,-0.08120300751879699,-0.08120277265623216
2,15,3,utility_3,multiply,spearman,-0.732330827067669,-0.7207081186003871
39,15,4,utility_2,add,kendall,-0.031578947368421054,-0.03157894527550118
59,15,2,utility_1,add,spearman,0.5503759398496241,0.5473441931788654
5,15,3,utility_3,multiply,kendall,0.18947368421052632,0.1894575989307692
40,15,3,utility_1,add,spearman,0.030075187969924807,0.030075186330016622
37,15,3,utility_3,add,kendall,0.22105263157894736,0.22101801670355006
24,15,4,utility_2,add,spearman,-0.13533834586466165,-0.13533533733540531
48,15,4,utility_3,multiply,kendall,-0.19999999999999998,-0.19997895087522655
53,15,3,utility_3,add,kendall,0.052631578947368425,0.05263155204815639
34,15,2,utility_2,multiply,spearman,0.08721804511278194,0.08721770950038027
1,15,4,utility_1,multiply,kendall,0.1368421052631579,0.13683892627378003
54,15,2,utility_1,multiply,kendall,0.39999999999999997,0.39935354283669466
7,15,4,utility_2,multiply,kendall,0.21635959217761205,0.2163284774236518
51,15,4,utility_3,add,spearman,-0.04962406015037594,-0.04962404010502834
46,15,2,utility_2,add,kendall,-0.021052631578947368,-0.021052631303285604
52,15,3,utility_3,add,kendall,0.11578947368421053,0.11578809231631905
44,15,2,utility_3,multiply,spearman,-0.05563909774436089,-0.055639062233534736
47,15,2,utility_3,multiply,spearman,-0.26917293233082706,-0.26908100021780657
55,15,2,utility_3,add,spearman,0.006015037593984962,0.00601503759346004
4,15,3,utility_2,add,kendall,-0.06860182190997455,-0.06860172077410476
45,15,2,utility_3,multiply,kendall,0.28421052631578947,0.2840902221944039
28,15,2,utility_2,multiply,spearman,0.15488721804511277,0.15488132280712763
56,15,3,utility_3,multiply,kendall,0.1473684210526316,0.14736382085161526
16,15,2,utility_2,add,spearman,-0.3533834586466165,-0.35303129358381335
31,15,3,utility_1,multiply,kendall,0.24210526315789474,0.2420508915531183
11,15,2,utility_3,multiply,kendall,0.10526315789473685,0.10526229950600086
18,15,3,utility_1,add,spearman,0.1639097744360902,0.16390195765063495
6,15,2,utility_2,multiply,kendall,0.3684210526315789,0.3679889256801694
41,15,3,utility_1,multiply,kendall,-0.021052631578947368,-0.021052631303285604
30,15,2,utility_3,add,kendall,-0.0736842105263158,-0.07368406598423834
25,15,3,utility_1,add,kendall,0.06860182190997455,0.06860172077410476
31,15,4,utility_1,add,spearman,0.26315789473684204,0.26307569599977987
46,15,3,utility_1,multiply,kendall,0.06315789473684211,0.06315782783021072
15,15,3,utility_2,add,spearman,0.3759398496240601,0.37546271492155336
51,15,3,utility_2,add,kendall,-0.08421052631578947,-0.08421024466370529
1,15,2,utility_2,add,spearman,0.21954887218045113,0.219515411279098
44,15,4,utility_2,add,spearman,0.04360902255639097,0.04360901204851062
21,15,4,utility_3,multiply,kendall,0.15789473684210525,0.15788824863728226
37,15,3,utility_1,add,kendall,-0.005277063223844196,-0.005277063223571383
42,15,2,utility_3,multiply,spearman,0.21954887218045113,0.219515411279098
13,15,4,utility_3,multiply,spearman,0.09473684210526315,0.09473633487840878
10,15,2,utility_2,multiply,spearman,-0.362406015037594,-0.36200742616825243
10,15,2,utility_3,add,spearman,-0.003007518796992481,-0.003007518796976077
4,15,2,utility_1,multiply,kendall,0.06315789473684211,0.06315782783021072
44,15,3,utility_3,multiply,spearman,-0.4090225563909774,-0.40830165709978217
26,15,3,utility_2,add,spearman,0.2721804511278195,0.27208332090212006
31,15,4,utility_2,add,spearman,0.29172932330827067,0.29159244370947285
51,15,3,utility_3,add,spearman,0.3669172932330827,0.366493751804195
10,15,2,utility_1,add,kendall,0.2631578947368421,0.26307569599977987
37,15,2,utility_3,add,kendall,0.036939442566909376,0.03693943798377224
17,15,4,utility_1,add,spearman,-0.1413533834586466,-0.14134964632474362
25,15,3,utility_3,add,kendall,0.3157894736842105,0.3155870523043374
58,15,3,utility_3,add,spearman,-0.09323308270676692,-0.09323261443393008
19,15,4,utility_2,multiply,kendall,0.06315789473684211,0.06315782783021072
41,15,4,utility_3,add,kendall,-0.24210526315789474,-0.2420508915531183
41,15,3,utility_2,add,kendall,0.005305207760646088,0.0053052077603659206
13,15,2,utility_2,multiply,kendall,-0.031578947368421054,-0.03157894527550118
27,15,2,utility_1,multiply,kendall,0.1473684210526316,0.14736382085161526
55,15,2,utility_1,multiply,kendall,0.24468431255719947,0.24462700699085851
12,15,4,utility_1,multiply,spearman,-0.1413533834586466,-0.14134964632474362
54,15,2,utility_3,add,kendall,-0.17894736842105263,-0.17893526584868608
45,15,4,utility_2,multiply,kendall,0.1368421052631579,0.13683892627378003
42,15,3,utility_3,multiply,spearman,-0.1744360902255639,-0.1744254324707501
43,15,2,utility_2,add,spearman,0.25112781954887214,0.2510626312399721
60,15,4,utility_3,add,kendall,-0.031578947368421054,-0.03157894527550118
47,15,4,utility_3,multiply,kendall,0.021052631578947368,0.021052631303285604
36,15,4,utility_3,add,kendall,-0.09473684210526316,-0.0947363348784088
2,15,4,utility_1,add,spearman,-0.21353383458646616,-0.21350468735559763
57,15,3,utility_2,add,spearman,-0.09172932330827067,-0.09172889156054181
29,15,4,utility_1,multiply,kendall,0.036939442566909376,0.03693943798377224
9,15,2,utility_1,multiply,kendall,-0.0736842105263158,-0.07368406598423834
40,15,3,utility_2,add,kendall,-0.031578947368421054,-0.03157894527550118
32,15,3,utility_1,add,kendall,-0.06860182190997455,-0.06860172077410476
23,15,3,utility_1,add,spearman,0.04962406015037594,0.04962404010502834
16,15,3,utility_1,multiply,spearman,0.45112781954887216,0.4499659779399287
