name,WRKY22,MPK4,FLS2,MKK2,PR1,MEK1,MKK4,MKK3,WRKY25
GSM473658,84,180.3,3252.7,1075.3,77.5,2069.9,330.2,17379.2,577.5
GSM473659,91.8,164.8,3245.1,1175.4,394.5,1894.2,531.3,24057,496.3
GSM473660,139.7,192.4,2513.9,1495.6,211.6,1688,177.2,2446.6,592.5
GSM473661,140.5,185.1,2096.7,1467,221,1620.2,244.6,2559.3,421.6
GSM473662,180.4,199.5,2241.6,1316.3,244.3,1257.2,171,2807.5,351.9
GSM473663,61.6,201.8,4238,1486.4,101.2,2604.9,703.3,29283.5,660.5
GSM473664,116.5,222.5,3694.6,1672.1,175.5,2539.3,547,24086.7,563.9
GSM473665,41.9,229.2,3653.5,1748.8,107,2038.7,679.4,28788.7,759
GSM469757,70.9355163574219,40.1546897888184,1104.12548828125,349.094451904297,64.7770080566406,585.733459472656,398.343719482422,6424.2958984375,280.756561279297
GSM469758,29.9741706848145,48.1933364868164,1130.53540039063,289.408081054688,35.1816749572754,599.292358398438,374.265167236328,7745.677734375,271.207000732422
GSM469759,39.6293563842773,58.4869384765625,1462.49035644531,359.399719238281,52.1550674438477,724.610107421875,464.817626953125,7504.47705078125,317.631530761719
GSM469760,10.4456300735474,40.7505683898926,427.772033691406,159.136367797852,28.8542766571045,409.414459228516,118.001098632813,1570.61877441406,103.624328613281
GSM469761,8.51869487762451,39.8608474731445,367.961517333984,139.813095092773,16.2547912597656,342.618316650391,93.8801879882813,1709.32080078125,121.657081604004
GSM469762,13.8156766891479,28.4942569732666,516.0927734375,191.90901184082,15.3990907669067,442.011657714844,94.9252166748047,679.2412109375,101.200950622559
GSM469763,16.9896297454834,55.4576721191406,1149.23071289063,326.168609619141,27.4750843048096,596.130981445313,420.077606201172,7286.0654296875,279.261566162109
GSM469764,5.21520233154297,50.352237701416,1074.51135253906,296.617126464844,27.8366069793701,583.083801269531,375.12060546875,8050.80224609375,279.399353027344
GSM469765,18.359302520752,48.9007682800293,1214.49291992188,290.074859619141,35.917911529541,679.832885742188,481.484710693359,6324.29833984375,293.108184814453
GSM469766,14.2678451538086,46.7462882995605,1222.24267578125,283.026489257813,21.0175094604492,683.399841308594,513.83642578125,8713.94140625,260.048889160156
GSM469767,1.11334013938904,47.4047966003418,1199.23120117188,277.063171386719,26.8489265441895,566.4619140625,348.592712402344,9018.6328125,342.481689453125
GSM469768,22.1600704193115,51.3801040649414,1356.37243652344,291.136840820313,51.2760429382324,550.6748046875,293.181854248047,8207.3828125,226.711044311523
GSM469769,11.162691116333,24.8393669128418,652.764282226563,113.270523071289,15.9673194885254,357.722900390625,424.372192382813,665.116149902344,137.942047119141
GSM469770,0.367376953363419,34.9133033752441,689.673278808594,97.2446060180664,5.62856101989746,322.012603759766,217.218048095703,1111.28430175781,141.732223510742
GSM469771,6.50801181793213,29.3245449066162,657.327880859375,161.020767211914,12.6506156921387,389.836700439453,351.842864990234,1762.63073730469,173.763168334961
GSM469772,12.4048471450806,46.4925155639648,861.684631347656,250.854721069336,22.0272979736328,501.308319091797,327.379425048828,5009.03857421875,232.17692565918
GSM469773,2.73704695701599,46.171558380127,814.02734375,182.415634155273,22.9779586791992,487.384460449219,293.491729736328,5356.57763671875,189.420196533203
GSM469774,14.181077003479,52.4744834899902,960.191711425781,251.659240722656,25.4863548278809,624.182312011719,316.13134765625,5868.033203125,230.27880859375
GSM469775,7.48063325881958,28.8681468963623,582.574951171875,171.062911987305,21.578275680542,388.112213134766,113.631278991699,1592.6728515625,133.292282104492
GSM469776,3.41483998298645,30.4218273162842,429.075622558594,120.169822692871,15.6246929168701,371.420257568359,145.776321411133,1248.9091796875,142.680694580078
GSM469777,19.7682418823242,41.626091003418,937.604919433594,278.198181152344,31.0758399963379,488.024963378906,187.119674682617,6671.58056640625,162.629638671875
GSM469778,1.57013034820557,50.9698257446289,590.485717773438,105.590530395508,23.3352909088135,311.370239257813,244.268371582031,770.429321289063,162.580017089844
GSM469779,0.511598646640778,34.5919151306152,529.804260253906,107.116432189941,25.340877532959,308.325561523438,244.376159667969,1388.25830078125,193.7548828125
GSM469780,0.9574174284935,48.7553749084473,860.689392089844,141.070678710938,18.9630012512207,409.666137695313,356.835571289063,1901.0908203125,214.631958007813
