ID_REF,GSM473654,GSM473655,GSM473656,GSM473657,GSM473658,GSM473659,GSM473660,GSM473661,GSM473662,GSM473663,GSM473664,GSM473665
247975_at,2,3.9,6.4,6.7,32.7,19,11.1,2.9,32.8,2.6,11.8,5.1
247976_at,5.2,26.4,20.4,14,3.6,93,8.9,5,11.9,8.1,47.8,20.1
247977_at,339.2,397.9,362.5,510.1,393.9,365.8,347.6,340.9,235.2,596.2,351.1,389.7
247978_at,6891.6,7305.4,6460.2,9392.3,9990.5,7970.8,7900,7476,7217.8,9210.8,10285.8,8251.6
247979_at,238.3,194.6,242.3,238.3,312.3,250,192.7,242.5,20.4,236.9,245.2,406.8
247980_at,94.2,163.8,138,346.1,274.1,353.9,269.5,274,317.8,302,309.9,390.8
247981_at,11,43,29.7,3.5,4,59.6,10.7,49.6,22.6,3.9,7.3,8
247982_at,1535.8,1184.6,1567.7,1823.6,1705,1293.5,1291.7,1274.2,1233.4,1202.9,1624,1495.2
247983_at,763.5,852.6,745.3,930.5,817.6,846.7,998.9,812.7,645.8,1182.4,1149.8,921.7
247984_s_at,193.3,243.9,358,329,263.5,254,244.7,223.5,201.5,222.8,255.7,209.5
247985_at,260.7,212.2,345.8,192.4,236.9,237.7,274.4,250.1,590.6,258.4,183.2,153.9
247986_at,5.1,34.9,26.3,73,42,16.5,11.3,66.6,19.9,12,44.4,100.3
247987_at,333.3,306.2,246.5,352.3,502.3,448.3,332.7,482.1,588.8,473.7,344.3,474.9
247988_at,549.7,413.3,544.6,294.3,281.5,364.5,457.3,421.8,413.7,314.8,398.3,309.4
247989_at,1171.3,922.8,1156.9,1787.9,1748,2071.4,1123.3,1276.6,1090.6,2378.9,2349.4,2862.9
247990_at,814.9,883.1,788.9,874.2,907.2,685.3,955.7,813.3,716.9,739.4,844.9,876.9
247991_at,28.7,86.4,7.5,2.4,6.4,47.2,21,15.5,22.8,22.3,77.5,22
247992_at,192.5,163.5,230,148.3,135.3,19.6,73.5,118.3,233.2,158.2,36.6,135.8
247993_at,369.5,332.7,408.3,310.1,439.7,372.5,279.4,233,448.5,252.5,253.1,405.8
247994_at,1329.1,1401.5,1281.5,1006.4,1146.4,1333.8,1274.2,1228.4,1014.1,881.2,916.1,1082.6
247995_at,5.9,34.9,124.3,72.6,47.8,16.2,3.4,4.5,16.7,3.7,69.3,103.3
247996_at,1582.4,1419.2,1123.1,1419.6,1472.6,1837.5,1416.4,1598,1597.8,1812.5,1366.9,1712.9
247997_at,621.5,713.3,609.1,555,654.8,595.8,569.5,597.1,741.4,848.6,723.8,838
247998_at,16,88.9,83.3,50.6,40.6,32.7,45.7,12,15.4,6.5,78.6,58
247999_at,2186.5,1918.5,1823.8,2203,2271.2,1615.8,1963.1,1663.5,2290.6,3102.7,2205,2652.6
248000_at,538.5,584.1,863.2,624.7,633.9,533.9,512.9,567.3,583.5,586,697.8,780.7
248001_at,821.1,868.1,751.7,666.5,708.2,601.5,965.7,795.2,936.1,694.2,588.5,506.8
248002_at,225,262.6,216,321.7,134.3,254.8,223.4,281.8,19.9,227.3,328.8,319.5
248003_at,45.5,117.2,15.4,73.1,41.2,54.7,61.4,36.1,259.1,85,15.1,20.2
248004_at,13,145.5,245.9,45.1,97.7,62.1,102.8,156,299.2,141.8,187.9,219.1
248005_at,564.7,484.9,721.6,550.2,678.4,577.5,453.6,409.3,340.7,499,553.6,563.6
248006_at,467.1,341.1,372,613.9,723.9,587.2,288.7,314.4,382.1,546.7,801.4,534.6
248007_at,762.7,980.3,597.8,1754.9,1617.9,1398.4,1266.6,1349,976.6,1766.3,1631.2,1678.2
248008_at,150.3,190.4,170.4,144.8,176.5,77.1,112.2,201.7,28.9,126.5,27.4,260.2
248009_at,649,662.3,786.3,644.6,773.9,534,886.1,723.3,732.2,840.4,637.8,650.1
248010_at,968.8,1065,1108.8,1384,1341.7,1101.7,1157.1,1087,1008.4,1138.1,1330.5,1301.3
248011_at,41.2,7,9.3,22.2,5.5,62.5,3.2,8,24.1,2.5,77.5,39
248012_at,68.4,31.5,82.4,40.5,13.3,59.7,92.1,33.2,19,20.6,2.8,59.7
248013_at,6.9,7.2,9.5,3,8.9,8.6,4.4,7.7,26.3,4.2,5.7,11.6
248014_at,197.6,250,252.4,221.3,210.6,279.3,227.7,267,389.9,342.8,181.9,349.6
248015_at,7.4,6.9,9.1,17,3.8,29.8,6.3,6.9,15,4.4,6.5,68
248016_at,317.7,202.1,270.1,242.4,256.7,128.1,358.5,274.1,300,226.5,195.5,234.3
248017_at,175.8,123.2,167.2,96.3,103,31.9,73.5,24.1,19.1,57,23.9,133
248018_at,12.7,5,7.5,2.4,6.7,22.9,9.3,16,21.3,32.2,16.1,20.4
248019_at,56.6,44.4,111.2,14.9,36.7,35.9,39,68.2,40.5,64.2,17.5,21
248020_at,39.6,29.4,17.6,72.5,49.5,63,47.8,89.6,27.9,4.1,58,112.1
248021_at,218.1,148.6,279.9,293.2,444.5,296.5,252.3,253.6,164,238.1,279.3,315.6
248022_at,4,6.6,14.9,18.9,4.5,4.3,5,13.9,6.4,29.5,3.9,4.9
248023_at,215.6,271.2,256.5,134.9,138.3,147.3,155.9,157.8,285,216.5,217,149
248024_at,50.7,85.2,199.4,69.9,83.2,136.4,78.2,83.1,12.9,78,152.5,83.7
248025_at,470.6,760.5,826.5,1249.5,1009.8,1365.1,662.4,622,415.6,1006,1244.3,1138.5
248026_at,1251,958.2,1536,1116.6,1087.5,1075.9,1122.2,1396.4,1704.6,770,830.9,1001
248027_at,504.5,331.2,364,351.7,500.8,543,429.5,501.4,635.5,387.2,280.5,570.5
248028_at,2971.7,3166.1,2112.4,2675.8,2304.6,3839.6,3308.1,3828.2,3911.9,2067.7,2165.9,2052.3
248029_at,173.1,181.9,144.8,227.1,235.2,334.9,184.1,242.7,167.9,126.7,158.5,299.3
248030_at,147.6,192.1,200.8,200.8,176.1,162.2,123.3,157.4,132.4,169.6,214,251.6
248031_at,484.9,637.1,501.7,478.2,423.4,611.4,463,638,335.6,512.4,521.4,406.9
248032_at,345.5,332.8,331.5,258.1,323.8,317.3,468.5,317.7,327.5,331.4,421.8,330.8
248033_s_at,6.3,7.4,10.6,8.2,4.3,6.2,17.5,14.5,11.5,3.5,4,13.7
